unit,actual_rul,ridge_prediction,lstm_prediction,gru_prediction,transformer_prediction,ensemble_prediction,ridge_error,ridge_absolute_error,lstm_error,lstm_absolute_error,gru_error,gru_absolute_error,transformer_error,transformer_absolute_error,ensemble_error,ensemble_absolute_error,best_model,model_prediction_spread
1,112.0,112.268524,115.38963,113.403496,121.67322,114.7107437133789,0.26852417,0.26852417,3.3896332,3.3896332,1.4034958,1.4034958,9.673218,9.673218,2.7107437133789034,2.7107437133789034,Ridge,9.404693603515625
2,98.0,114.53343,118.964226,113.80567,122.1718,116.54532737731934,16.533432,16.533432,20.964226,20.964226,15.805672,15.805672,24.171799,24.171799,18.54532737731934,18.54532737731934,GRU,8.366127014160156
3,69.0,67.60764,46.756554,42.99367,74.55031,46.264800262451175,-1.3923569,1.3923569,-22.243446,22.243446,-26.006329,26.006329,5.550308,5.550308,-22.735199737548825,22.735199737548825,Ridge,31.556636810302734
4,82.0,84.93013,87.52053,84.32096,104.82825,86.78613166809083,2.93013,2.93013,5.5205307,5.5205307,2.320961,2.320961,22.828247,22.828247,4.786131668090832,4.786131668090832,GRU,20.507286071777344
5,91.0,91.751434,103.588356,107.89505,116.84855,106.40471267700195,0.7514343,0.7514343,12.588356,12.588356,16.89505,16.89505,25.848549,25.848549,15.404712677001953,15.404712677001953,Ridge,25.09711456298828
6,93.0,98.403564,113.624306,111.11565,122.61918,112.81971969604493,5.4035645,5.4035645,20.624306,20.624306,18.115646,18.115646,29.619179,29.619179,19.819719696044928,19.819719696044928,Ridge,24.215614318847656
7,91.0,99.88128,107.72932,105.65744,116.01796,107.10781059265136,8.881279,8.881279,16.729317,16.729317,14.65744,14.65744,25.01796,25.01796,16.10781059265136,16.10781059265136,Ridge,16.136680603027344
8,95.0,92.12198,110.12387,108.98594,115.886566,109.84303970336914,-2.8780212,2.8780212,15.123871,15.123871,13.985939,13.985939,20.886566,20.886566,14.843039703369143,14.843039703369143,Ridge,23.76458740234375
9,111.0,110.62798,118.96704,113.65464,74.01178,114.06307754516601,-0.3720169,0.3720169,7.967041,7.967041,2.6546402,2.6546402,-36.98822,36.98822,3.06307754516601,3.06307754516601,Ridge,44.95526123046875
10,96.0,93.388306,94.14863,90.00485,77.19329,91.22897338867188,-2.6116943,2.6116943,-1.8513718,1.8513718,-5.9951477,5.9951477,-18.80671,18.80671,-4.771026611328125,4.771026611328125,LSTM,16.955337524414062
11,97.0,88.22659,72.178246,83.0742,85.13283,78.27395362854004,-8.773407,8.773407,-24.821754,24.821754,-13.9257965,13.9257965,-11.867172,11.867172,-18.726046371459958,18.726046371459958,Ridge,16.04834747314453
12,124.0,98.997604,100.06452,106.12698,108.69017,103.52703514099122,-25.002396,25.002396,-23.935478,23.935478,-17.873016,17.873016,-15.30983,15.30983,-20.472964859008783,20.472964859008783,Transformer,9.69256591796875
13,95.0,80.364136,80.41294,69.61409,53.929752,73.68935604095459,-14.635864,14.635864,-14.587059,14.587059,-25.38591,25.38591,-41.070248,41.070248,-21.310643959045407,21.310643959045407,LSTM,26.48318862915039
14,107.0,112.43989,113.6915,111.8085,107.808365,112.45584335327149,5.439888,5.439888,6.691498,6.691498,4.808502,4.808502,0.80836487,0.80836487,5.45584335327149,5.45584335327149,Transformer,5.8831329345703125
15,83.0,102.473175,92.93337,107.39862,122.58205,101.6484302520752,19.473175,19.473175,9.9333725,9.9333725,24.39862,24.39862,39.582047,39.582047,18.6484302520752,18.6484302520752,LSTM,29.64867401123047
16,84.0,106.55716,105.50984,103.671646,117.19253,105.17487831115723,22.55716,22.55716,21.509842,21.509842,19.671646,19.671646,33.192528,33.192528,21.17487831115723,21.17487831115723,GRU,13.520881652832031
17,50.0,61.56128,67.40026,59.248474,43.819195,62.14531421661377,11.561279,11.561279,17.40026,17.40026,9.248474,9.248474,-6.180805,6.180805,12.14531421661377,12.14531421661377,Transformer,23.581066131591797
18,28.0,38.98146,33.262154,30.684063,42.64098,32.44204959869385,10.981461,10.981461,5.2621536,5.2621536,2.684063,2.684063,14.64098,14.64098,4.442049598693849,4.442049598693849,GRU,11.956916809082031
19,87.0,103.67772,84.17439,98.682556,105.14441,92.47697525024415,16.67772,16.67772,-2.8256073,2.8256073,11.682556,11.682556,18.14441,18.14441,5.476975250244152,5.476975250244152,LSTM,20.970016479492188
20,16.0,8.115906,20.422733,17.964184,26.49341,19.49699239730835,-7.884094,7.884094,4.4227333,4.4227333,1.9641838,1.9641838,10.49341,10.49341,3.4969923973083503,3.4969923973083503,GRU,18.377504348754883
21,57.0,98.3087,70.852554,74.05229,57.60684,71.79013729095459,41.3087,41.3087,13.852554,13.852554,17.052292,17.052292,0.6068382,0.6068382,14.79013729095459,14.79013729095459,Transformer,40.70186233520508
22,111.0,115.53349,120.12821,112.48758,121.38077,116.37052345275879,4.533493,4.533493,9.128212,9.128212,1.4875793,1.4875793,10.380768,10.380768,5.370523452758789,5.370523452758789,GRU,8.8931884765625
23,113.0,122.39459,119.296776,121.254105,120.307495,120.32597618103028,9.394592,9.394592,6.296776,6.296776,8.254105,8.254105,7.307495,7.307495,7.325976181030285,7.325976181030285,LSTM,3.0978164672851562
24,20.0,33.954086,27.843304,24.347788,24.032625,25.90501184463501,13.954086,13.954086,7.8433037,7.8433037,4.347788,4.347788,4.032625,4.032625,5.905011844635009,5.905011844635009,Transformer,9.92146110534668
25,125.0,109.087234,89.931984,104.258224,125.0,98.8485050201416,-15.9127655,15.9127655,-35.068016,35.068016,-20.741776,20.741776,0.0,0.0,-26.1514949798584,26.1514949798584,Transformer,35.068016052246094
26,119.0,115.569016,117.22185,115.997444,112.08062,116.35258445739746,-3.4309845,3.4309845,-1.7781525,1.7781525,-3.0025558,3.0025558,-6.91938,6.91938,-2.6474155426025447,2.6474155426025447,LSTM,5.141227722167969
27,66.0,93.57467,80.57145,73.82756,118.826584,79.11226158142091,27.574669,27.574669,14.571449,14.571449,7.8275604,7.8275604,52.826584,52.826584,13.11226158142091,13.11226158142091,GRU,44.9990234375
28,97.0,104.26874,115.74859,112.13615,85.50039,112.4299575805664,7.268738,7.268738,18.748589,18.748589,15.136147,15.136147,-11.499611,11.499611,15.429957580566395,15.429957580566395,Ridge,30.248199462890625
29,90.0,97.80436,112.6942,98.11391,97.33995,104.63634033203125,7.8043594,7.8043594,22.694199,22.694199,8.113907,8.113907,7.3399506,7.3399506,14.636340332031253,14.636340332031253,Transformer,15.354248046875
30,115.0,96.81391,111.55281,101.93265,96.67071,105.99862403869629,-18.186089,18.186089,-3.4471893,3.4471893,-13.067352,13.067352,-18.329292,18.329292,-9.001375961303708,9.001375961303708,LSTM,14.882102966308594
31,8.0,0.0,18.393257,10.016476,16.484274,14.109417247772216,-8.0,8.0,10.393257,10.393257,2.0164757,2.0164757,8.484274,8.484274,6.109417247772216,6.109417247772216,GRU,18.39325714111328
32,48.0,58.518112,61.631012,59.368977,53.263287,60.08160800933838,10.518112,10.518112,13.631012,13.631012,11.368977,11.368977,5.2632866,5.2632866,12.081608009338382,12.081608009338382,Transformer,8.367725372314453
33,106.0,101.540665,116.891655,111.368965,110.35395,113.80342483520508,-4.4593353,4.4593353,10.891655,10.891655,5.368965,5.368965,4.3539505,4.3539505,7.803424835205078,7.803424835205078,Transformer,15.350990295410156
34,7.0,0.0,10.241069,7.5061584,6.904758,8.70679805278778,-7.0,7.0,3.2410688,3.2410688,0.50615835,0.50615835,-0.09524202,0.09524202,1.7067980527877804,1.7067980527877804,Transformer,10.241068840026855
35,11.0,21.485443,17.043089,14.102489,7.678017,15.104535603523255,10.485443,10.485443,6.043089,6.043089,3.1024895,3.1024895,-3.3219829,3.3219829,4.104535603523255,4.104535603523255,GRU,13.80742597579956
36,19.0,26.226837,31.066216,24.961918,23.80712,27.651111888885495,7.226837,7.226837,12.0662155,12.0662155,5.961918,5.961918,4.8071194,4.8071194,8.651111888885495,8.651111888885495,Transformer,7.259096145629883
37,21.0,31.299614,28.58941,35.693665,35.843487,32.50424146652222,10.299614,10.299614,7.589411,7.589411,14.693665,14.693665,14.843487,14.843487,11.504241466522217,11.504241466522217,LSTM,7.25407600402832
38,50.0,65.538124,63.09481,51.633736,81.266846,58.27287483215332,15.538124,15.538124,13.0948105,13.0948105,1.6337357,1.6337357,31.266846,31.266846,8.27287483215332,8.27287483215332,GRU,29.63311004638672
39,125.0,125.0,120.22374,122.71208,116.285965,121.27102203369141,0.0,0.0,-4.7762604,4.7762604,-2.287918,2.287918,-8.714035,8.714035,-3.728977966308591,3.728977966308591,Ridge,8.714035034179688
40,28.0,46.584625,36.99286,30.351791,29.705502,33.30795726776123,18.584625,18.584625,8.992859,8.992859,2.3517914,2.3517914,1.7055016,1.7055016,5.307957267761232,5.307957267761232,Transformer,16.87912368774414
41,18.0,34.51847,25.387619,29.875183,35.907715,28.157405853271484,16.51847,16.51847,7.387619,7.387619,11.875183,11.875183,17.907715,17.907715,10.157405853271484,10.157405853271484,LSTM,10.520095825195312
42,10.0,0.0,11.867183,9.888834,15.668341,11.068066263198853,-10.0,10.0,1.8671827,1.8671827,-0.111166,0.111166,5.6683407,5.6683407,1.068066263198853,1.068066263198853,GRU,15.668340682983398
43,59.0,77.23249,59.227997,62.804173,116.53129,63.881249237060544,18.23249,18.23249,0.22799683,0.22799683,3.8041725,3.8041725,57.53129,57.53129,4.881249237060544,4.881249237060544,LSTM,57.30329132080078
44,109.0,97.87547,115.05743,116.19998,112.65968,115.50881690979004,-11.124527,11.124527,6.0574265,6.0574265,7.1999817,7.1999817,3.6596832,3.6596832,6.508816909790042,6.508816909790042,Transformer,18.324508666992188
45,114.0,73.08087,81.27503,62.453632,42.850845,69.94312286376953,-40.91913,40.91913,-32.724968,32.724968,-51.546368,51.546368,-71.149155,71.149155,-44.05687713623047,44.05687713623047,LSTM,38.42418670654297
