unit,actual_rul,predicted_rul_mean,predicted_rul_median,mc_standard_deviation,raw_percentile_05,raw_percentile_95,calibrated_lower_bound,calibrated_upper_bound,interval_width,prediction_error,absolute_error,confidence,health_status,recommendation,actual_inside_interval,ridge_prediction,model_disagreement,disagreement_level,conservative_rul,engine_condition,prediction_trust,review_flag,risk_score,operational_action,condition_priority,review_priority
56,15.0,14.938157081604004,13.706296920776367,7.908380031585693,5.899200439453125,30.30414581298828,2.711237907409668,27.165077209472656,24.453838348388672,-0.061842918395996,0.061842918395996,Medium,Critical,Immediate inspection recommended,True,36.253708,21.315550918396,High,2.711237907409668,Critical,Low,Required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Manual engineering review is required before relying on the predicted RUL.,1,1
77,34.0,23.746543884277344,22.95262336730957,6.144603252410889,15.17125415802002,33.82549285888672,13.940442085266112,33.55264663696289,19.612205505371094,-10.253456115722656,10.253456115722656,Medium,Warning,Immediate inspection recommended,False,49.477493,25.73094911572266,High,13.940442085266112,Critical,Low,Required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Manual engineering review is required before relying on the predicted RUL.,1,1
91,38.0,25.529003143310547,24.59692001342773,7.821691036224365,14.886222839355469,37.5151481628418,13.421066284179688,37.636940002441406,24.21587371826172,-12.470996856689451,12.470996856689451,Medium,Warning,Immediate inspection recommended,False,52.089314,26.560310856689455,High,13.421066284179688,Critical,Low,Required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Manual engineering review is required before relying on the predicted RUL.,1,1
20,16.0,18.57808303833008,18.19236946105957,4.494678974151611,9.885727882385254,26.476192474365234,11.03653335571289,26.119632720947266,15.083099365234377,2.578083038330078,2.578083038330078,High,Critical,Immediate inspection recommended,True,8.115906,10.462177038330081,Medium,8.115906,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
24,20.0,22.834665298461918,23.11785888671875,6.048800468444824,12.728530883789062,32.19248580932617,13.160054206848145,32.50927734375,19.34922409057617,2.834665298461914,2.834665298461914,Medium,Warning,Immediate inspection recommended,True,33.954086,11.119420701538079,Medium,13.160054206848145,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
31,8.0,10.963146209716797,10.179893493652344,5.578018665313721,4.038243293762207,21.62645530700684,1.9346923828125,19.991600036621094,18.056907653808597,2.963146209716797,2.963146209716797,Medium,Critical,Immediate inspection recommended,True,0.0,10.963146209716797,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
42,10.0,11.815329551696776,11.058300018310549,4.19409704208374,6.937854290008545,20.453481674194336,4.686333656311035,18.944324493408203,14.257990837097168,1.8153295516967771,1.8153295516967771,High,Critical,Immediate inspection recommended,True,0.0,11.815329551696776,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
66,14.0,22.237403869628903,21.76313018798828,6.664867401123047,12.0776948928833,34.63160705566406,11.717229843139648,32.75757598876953,21.040346145629883,8.237403869628906,8.237403869628906,Medium,Warning,Immediate inspection recommended,True,36.92356,14.6861561303711,Medium,11.717229843139648,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
76,10.0,10.2434720993042,9.69295883178711,4.302578449249268,4.843935966491699,19.003498077392575,2.9655838012695312,17.521360397338867,14.555776596069336,0.2434720993041992,0.2434720993041992,High,Critical,Immediate inspection recommended,True,0.0,10.2434720993042,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
82,9.0,10.554387092590332,10.058639526367188,3.656017303466797,5.722144603729248,17.853897094726562,4.163916110992432,16.94485855102539,12.780942916870115,1.554387092590332,1.554387092590332,High,Critical,Immediate inspection recommended,True,0.0,10.554387092590332,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
92,20.0,19.660903930664062,18.77548599243164,7.717895030975342,9.07859230041504,30.830591201782227,7.695428848266602,31.626379013061523,23.93095016479492,-0.3390960693359375,0.3390960693359375,Medium,Critical,Immediate inspection recommended,True,36.546227,16.88532306933594,Medium,7.695428848266602,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
40,28.0,28.903949737548828,28.307880401611328,6.2409257888793945,19.09607696533203,39.71747970581055,18.96564292907715,38.84225463867188,19.876611709594727,0.903949737548828,0.903949737548828,Medium,Warning,Immediate inspection recommended,True,46.584625,17.680675262451174,Medium,18.96564292907715,Critical,Medium,Recommended,98.82748565673828,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
34,7.0,8.733978271484375,8.169742584228516,3.750410318374634,4.344315528869629,15.232162475585938,2.213951110839844,15.254005432128906,13.040054321289062,1.733978271484375,1.733978271484375,High,Critical,Immediate inspection recommended,True,0.0,8.733978271484375,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
68,8.0,9.933022499084473,9.083866119384766,4.782299518585205,4.451519966125488,17.271711349487305,1.9967079162597656,17.86933708190918,15.872629165649414,1.9330224990844729,1.9330224990844729,High,Critical,Immediate inspection recommended,True,0.0,9.933022499084473,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
81,8.0,9.56846523284912,8.295677185058594,4.989109039306641,3.78569221496582,21.3541202545166,1.3483009338378906,17.78862953186035,16.44032859802246,1.568465232849121,1.568465232849121,High,Critical,Immediate inspection recommended,True,0.0,9.56846523284912,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
35,11.0,13.591411590576172,12.88833999633789,6.376078605651856,4.524924755096436,24.48904800415039,3.4676055908203125,23.71521759033203,20.24761199951172,2.591411590576172,2.591411590576172,Medium,Critical,Immediate inspection recommended,True,21.485443,7.894031409423828,Low,3.4676055908203125,Critical,High,Not required,97.22591552734376,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
49,21.0,15.826164245605469,14.742767333984377,6.651127815246582,7.742738723754883,26.508373260498047,5.324847221374512,26.32748031616211,21.00263214111328,-5.173835754394531,5.173835754394531,Medium,Critical,Immediate inspection recommended,True,25.39589,9.569725754394533,Low,5.324847221374512,Critical,High,Not required,95.7401222229004,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
90,28.0,27.57733154296875,25.71227264404297,8.421329498291016,17.7027645111084,43.42787170410156,14.646379470825195,40.50828552246094,25.861906051635746,-0.42266845703125,0.42266845703125,Medium,Warning,Immediate inspection recommended,True,29.973587,2.3962554570312484,Low,14.646379470825195,Critical,Medium,Not required,95.28289642333984,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
100,20.0,22.51368904113769,21.664051055908203,6.555214881896973,13.735363960266112,33.37657165527344,12.144014358520508,32.88336181640625,20.739347457885746,2.5136890411376958,2.5136890411376958,Medium,Warning,Immediate inspection recommended,True,16.50962,6.00406904113769,Low,12.144014358520508,Critical,High,Not required,90.28478851318359,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
36,19.0,23.780916213989254,23.141225814819336,7.333920478820801,14.58930778503418,35.115081787109375,12.342453956604004,35.21937942504883,22.87692642211914,4.780916213989258,4.780916213989258,Medium,Warning,Immediate inspection recommended,True,26.226837,2.4459207860107455,Low,12.342453956604004,Critical,High,Not required,90.1260368347168,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
61,21.0,20.46000862121582,19.776050567626957,4.623403072357178,14.383703231811523,30.359962463378903,12.741782188415527,28.1782341003418,15.43645191192627,-0.5399913787841797,0.5399913787841797,High,Warning,Immediate inspection recommended,True,18.446014,2.0139946212158186,Low,12.741782188415527,Critical,High,Not required,89.80657424926758,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
