unit,actual_rul,predicted_rul_mean,predicted_rul_median,mc_standard_deviation,raw_percentile_05,raw_percentile_95,calibrated_lower_bound,calibrated_upper_bound,interval_width,prediction_error,absolute_error,confidence,health_status,recommendation,actual_inside_interval,ridge_prediction,model_disagreement,disagreement_level,conservative_rul,engine_condition,prediction_trust,review_flag,risk_score,operational_action,condition_priority,review_priority
56,15.0,14.416377067565918,12.77911376953125,6.452434062957764,6.083256244659424,25.73255920410156,3.572524070739746,25.260231018066406,21.687705993652344,-0.583622932434082,0.583622932434082,Medium,Critical,Immediate inspection recommended,True,36.253708,21.837330932434085,High,3.572524070739746,Critical,Low,Required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Manual engineering review is required before relying on the predicted RUL.,1,1
77,34.0,27.138429641723636,26.59742546081543,5.741522789001465,18.662803649902344,36.76310348510742,17.32900619506836,36.947853088378906,19.618846893310547,-6.861570358276367,6.861570358276367,Medium,Warning,Immediate inspection recommended,True,49.477493,22.339063358276366,High,17.32900619506836,Critical,Low,Required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Manual engineering review is required before relying on the predicted RUL.,1,1
91,38.0,21.928207397460938,20.700252532958984,6.589061260223389,13.58079433441162,34.0498046875,10.88555145263672,32.97086334228516,22.08531188964844,-16.071792602539062,16.071792602539062,Medium,Warning,Immediate inspection recommended,False,52.089314,30.161106602539064,High,10.88555145263672,Critical,Low,Required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Manual engineering review is required before relying on the predicted RUL.,1,1
24,20.0,23.69645500183105,22.173526763916016,6.849459171295166,16.26314353942871,37.04674530029297,12.274900436401367,35.118011474609375,22.843111038208008,3.696455001831055,3.696455001831055,Medium,Warning,Immediate inspection recommended,True,33.954086,10.257630998168946,Medium,12.274900436401367,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
31,8.0,11.787546157836914,11.430967330932615,4.654375076293945,5.922365665435791,20.91151428222656,3.560004234313965,20.015087127685547,16.455081939697266,3.787546157836914,3.787546157836914,High,Critical,Immediate inspection recommended,True,0.0,11.787546157836914,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
35,11.0,9.945508003234863,8.672102928161621,5.5792436599731445,3.358891725540161,19.468713760375977,0.3722124099731445,19.518802642822266,19.14659118652344,-1.0544919967651367,1.0544919967651367,Medium,Critical,Immediate inspection recommended,True,21.485443,11.539934996765137,Medium,0.3722124099731445,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
41,18.0,24.42695617675781,23.961750030517575,5.051145076751709,16.872892379760742,32.78950881958008,15.62208366394043,33.23182678222656,17.609743118286133,6.4269561767578125,6.4269561767578125,Medium,Warning,Immediate inspection recommended,True,34.51847,10.091513823242192,Medium,15.62208366394043,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
66,14.0,18.21134185791016,16.99041748046875,4.649949550628662,12.66347312927246,26.76250648498535,9.990239143371582,26.432445526123047,16.44220733642578,4.211341857910156,4.211341857910156,High,Critical,Immediate inspection recommended,True,36.92356,18.712218142089842,Medium,9.990239143371582,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
68,8.0,10.040721893310549,9.239395141601562,4.764664173126221,4.589405536651611,17.511449813842773,1.6527013778686523,18.428741455078125,16.776039123535156,2.040721893310547,2.040721893310547,High,Critical,Immediate inspection recommended,True,0.0,10.040721893310549,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
82,9.0,10.071504592895508,9.221351623535156,4.31296443939209,4.031978607177734,18.1337947845459,2.34074068069458,17.802268981933594,15.461528778076172,1.0715045928955078,1.0715045928955078,High,Critical,Immediate inspection recommended,True,0.0,10.071504592895508,Medium,0.0,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
92,20.0,20.219785690307617,19.1760196685791,5.676517963409424,12.441024780273438,30.068321228027344,10.504948616027832,29.93462371826172,19.429676055908203,0.2197856903076172,0.2197856903076172,Medium,Warning,Immediate inspection recommended,True,36.546227,16.326441309692385,Medium,10.504948616027832,Critical,Medium,Recommended,100.0,Inspect immediately and restrict continued operation until the engine condition is verified. Engineering review is recommended because the prediction contains elevated uncertainty.,1,2
34,7.0,7.09042501449585,5.799617767333984,4.191908359527588,2.934197187423706,13.698294639587402,0.0,14.645042419433594,14.645042419433594,0.0904250144958496,0.0904250144958496,High,Critical,Immediate inspection recommended,True,0.0,7.09042501449585,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
42,10.0,9.745909690856934,8.67014217376709,4.685284614562988,4.349838733673096,18.001279830932617,1.4733915328979492,18.018428802490234,16.54503631591797,-0.2540903091430664,0.2540903091430664,High,Critical,Immediate inspection recommended,True,0.0,9.745909690856934,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
76,10.0,8.480671882629395,7.922965049743652,3.294935941696167,3.5096027851104736,14.77077579498291,2.2312159538269043,14.730127334594728,12.498910903930664,-1.5193281173706057,1.5193281173706057,High,Critical,Immediate inspection recommended,True,0.0,8.480671882629395,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
81,8.0,6.971103668212891,6.403812885284424,3.421072244644165,2.6176342964172363,13.78287410736084,0.5381107330322266,13.404096603393556,12.865985870361328,-1.0288963317871094,1.0288963317871094,High,Critical,Immediate inspection recommended,True,0.0,6.971103668212891,Low,0.0,Critical,High,Not required,100.0,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
20,16.0,14.919377326965332,13.565693855285645,5.274486064910889,9.423727989196776,24.978546142578125,5.78952693939209,24.04922866821289,18.259700775146484,-1.080622673034668,1.080622673034668,Medium,Critical,Immediate inspection recommended,True,8.115906,6.803471326965331,Low,5.78952693939209,Critical,High,Not required,95.36837844848633,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
49,21.0,16.05817222595215,15.265670776367188,5.27400016784668,9.917560577392578,24.761449813842773,6.92902946472168,25.187314987182617,18.258285522460938,-4.941827774047852,4.941827774047852,Medium,Critical,Immediate inspection recommended,True,25.39589,9.337717774047853,Low,6.92902946472168,Critical,High,Not required,94.45677642822265,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
90,28.0,31.758323669433597,29.62453269958496,8.543901443481445,21.25420570373535,49.84905624389648,17.871227264404297,45.64542007446289,27.774192810058597,3.7583236694335938,3.7583236694335938,Medium,Warning,Immediate inspection recommended,True,29.973587,1.7847366694335989,Low,17.871227264404297,Critical,Medium,Not required,92.70301818847656,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
100,20.0,20.253904342651367,20.09517288208008,5.711109161376953,12.412705421447754,29.80069923400879,10.488734245300291,30.019073486328125,19.53033828735352,0.2539043426513672,0.2539043426513672,Medium,Warning,Immediate inspection recommended,True,16.50962,3.7442843426513654,Low,10.488734245300291,Critical,High,Not required,91.60901260375977,Inspect immediately and restrict continued operation until the engine condition is verified.,1,3
