unit,actual_rul,lstm_prediction,ridge_prediction,lstm_error,ridge_error,lstm_absolute_error,ridge_absolute_error,better_model
1,112.0,115.38963,112.268524,3.389629999999997,0.2685239999999993,3.389629999999997,0.2685239999999993,Ridge
2,98.0,118.964226,114.53343,20.964225999999996,16.533429999999996,20.964225999999996,16.533429999999996,Ridge
3,69.0,46.756554,67.60764,-22.243446,-1.3923599999999965,22.243446,1.3923599999999965,Ridge
4,82.0,87.52053,84.93013,5.520529999999994,2.9301300000000055,5.520529999999994,2.9301300000000055,Ridge
5,91.0,103.588356,91.751434,12.588356000000005,0.7514340000000033,12.588356000000005,0.7514340000000033,Ridge
6,93.0,113.624306,98.403564,20.624306000000004,5.403564000000003,20.624306000000004,5.403564000000003,Ridge
7,91.0,107.72932,99.88128,16.72932,8.881280000000004,16.72932,8.881280000000004,Ridge
8,95.0,110.12387,92.12198,15.123869999999997,-2.8780200000000065,15.123869999999997,2.8780200000000065,Ridge
9,111.0,118.96704,110.62798,7.967039999999997,-0.37202000000000623,7.967039999999997,0.37202000000000623,Ridge
10,96.0,94.14863,93.388306,-1.8513700000000028,-2.611694,1.8513700000000028,2.611694,LSTM
11,97.0,72.178246,88.22659,-24.821754,-8.773409999999998,24.821754,8.773409999999998,Ridge
12,124.0,100.06452,98.997604,-23.93548,-25.002396000000005,23.93548,25.002396000000005,LSTM
13,95.0,80.41294,80.364136,-14.587059999999994,-14.635863999999998,14.587059999999994,14.635863999999998,LSTM
14,107.0,113.6915,112.43989,6.691500000000005,5.439890000000005,6.691500000000005,5.439890000000005,Ridge
15,83.0,92.93337,102.473175,9.933369999999996,19.473174999999998,9.933369999999996,19.473174999999998,LSTM
16,84.0,105.50984,106.55716,21.509839999999997,22.557159999999996,21.509839999999997,22.557159999999996,LSTM
17,50.0,67.40026,61.56128,17.400260000000003,11.561279999999996,17.400260000000003,11.561279999999996,Ridge
18,28.0,33.262154,38.98146,5.262154000000002,10.981459999999998,5.262154000000002,10.981459999999998,LSTM
19,87.0,84.17439,103.67772,-2.8256099999999975,16.677719999999994,2.8256099999999975,16.677719999999994,LSTM
20,16.0,20.422733,8.115906,4.422733000000001,-7.884093999999999,4.422733000000001,7.884093999999999,LSTM
21,57.0,70.852554,98.3087,13.852553999999998,41.3087,13.852553999999998,41.3087,LSTM
22,111.0,120.12821,115.53349,9.128209999999996,4.5334900000000005,9.128209999999996,4.5334900000000005,Ridge
23,113.0,119.296776,122.39459,6.296775999999994,9.394589999999994,6.296775999999994,9.394589999999994,LSTM
24,20.0,27.843304,33.954086,7.843304,13.954085999999997,7.843304,13.954085999999997,LSTM
25,125.0,89.931984,109.087234,-35.068016,-15.912766000000005,35.068016,15.912766000000005,Ridge
26,119.0,117.22185,115.569016,-1.7781499999999966,-3.430983999999995,1.7781499999999966,3.430983999999995,LSTM
27,66.0,80.57145,93.57467,14.571449999999999,27.574669999999998,14.571449999999999,27.574669999999998,LSTM
28,97.0,115.74859,104.26874,18.748589999999993,7.268739999999994,18.748589999999993,7.268739999999994,Ridge
29,90.0,112.6942,97.80436,22.694199999999995,7.804360000000003,22.694199999999995,7.804360000000003,Ridge
30,115.0,111.55281,96.81391,-3.447190000000006,-18.186089999999993,3.447190000000006,18.186089999999993,LSTM
31,8.0,18.393257,0.0,10.393256999999998,-8.0,10.393256999999998,8.0,Ridge
32,48.0,61.631012,58.518112,13.631011999999998,10.518112000000002,13.631011999999998,10.518112000000002,Ridge
33,106.0,116.891655,101.540665,10.891655,-4.459334999999996,10.891655,4.459334999999996,Ridge
