unit,observed_cycles,recent_window_used,initial_predicted_rul,final_predicted_rul,all_history_slope,recent_slope,recent_degradation_rate,recent_predicted_drop,recent_expected_drop,recent_decline_ratio,recent_prediction_range,recent_prediction_std,recent_residual_std,monotonicity_violation_rate,flat_step_rate,large_jump_count,largest_single_cycle_jump,trajectory_flag,raw_final_actual_rul,final_actual_rul,final_prediction_error,final_absolute_error
1,31,20,120.77445220947266,113.40349578857422,-0.18945300502162063,-0.509069875846229,0.509069875846229,11.596504211425781,19.0,0.6103423269171464,11.596504211425781,3.2603895174816295,1.418919025446957,0.05263157894736842,0.3684210526315789,0,3.4560165405273438,Consistent degradation,112.0,112.0,1.4034957885742188,1.4034957885742188
4,106,20,114.10880279541016,84.32096099853516,-0.08150111637893413,-0.48332888954564196,0.48332888954564196,26.350303649902344,19.0,1.3868580868369655,29.179779052734375,6.193244920215095,5.530719304702759,0.15789473684210525,0.3684210526315789,1,22.047828674316406,Consistent degradation,82.0,82.0,2.3209609985351562,2.3209609985351562
5,98,20,120.11387634277344,107.89505004882812,0.29769290649027985,-0.5172263181299188,0.5172263181299188,3.8235321044921875,19.0,0.2012385318153783,16.579116821289062,4.310943666547255,3.11273086093492,0.21052631578947367,0.42105263157894735,0,9.792533874511719,Consistent degradation,91.0,91.0,16.895050048828125,16.895050048828125
11,83,20,92.54529571533203,83.07420349121094,-0.10947504192109024,-0.5319948182070126,0.5319948182070126,8.786628723144531,19.0,0.4624541433233964,27.595535278320312,8.399707843583482,7.819509394977235,0.2631578947368421,0.2631578947368421,1,12.184646606445312,Consistent degradation,97.0,97.0,-13.925796508789062,13.925796508789062
15,76,20,121.6927261352539,107.39862060546875,-0.1385909926752818,-0.6652821935209107,0.6652821935209107,15.7650146484375,19.0,0.8297376130756579,16.41254425048828,5.174798276184335,3.4730496682913277,0.3157894736842105,0.05263157894736842,0,6.745048522949219,Consistent degradation,83.0,83.0,24.39862060546875,24.39862060546875
17,165,20,119.90757751464844,59.24847412109375,-0.3539497780162307,-1.6690397104822579,1.6690397104822579,26.45989990234375,19.0,1.392626310649671,34.33666229248047,11.489790355880363,6.27622272651221,0.2631578947368421,0.10526315789473684,1,13.516956329345703,Consistent degradation,50.0,50.0,9.24847412109375,9.24847412109375
20,184,20,116.1897964477539,17.964183807373047,-0.5641058815296969,-0.7080707965936887,0.7080707965936887,15.631786346435547,19.0,0.8227255971808183,17.039539337158203,4.672208473578748,2.271380771403774,0.15789473684210525,0.10526315789473684,0,3.476316452026367,Consistent degradation,16.0,16.0,1.9641838073730469,1.9641838073730469
22,39,20,124.91574096679688,112.48757934570312,-0.4552861109436279,-0.7446755717571485,0.7446755717571485,12.512420654296875,19.0,0.6585484554893092,14.494422912597656,5.1842540764917056,2.9048198853211473,0.10526315789473684,0.5789473684210527,1,10.452827453613281,Consistent degradation,111.0,111.0,1.487579345703125,1.487579345703125
25,48,20,118.27359008789062,104.25822448730469,-0.16503182153208923,-0.9317850098574039,0.9317850098574039,19.525848388671875,19.0,1.0276762309827303,19.525848388671875,6.319769883588892,3.327321220401547,0.15789473684210525,0.15789473684210525,1,10.32940673828125,Consistent degradation,145.0,125.0,-20.741775512695312,20.741775512695312
27,140,20,124.32121276855469,73.82756042480469,-0.3322146724078557,-1.5324837792188606,1.5324837792188606,20.495933532714844,19.0,1.078733343827097,44.329925537109375,13.497918461259298,10.203232847761436,0.3157894736842105,0.21052631578947367,1,27.842628479003906,Consistent degradation,66.0,66.0,7.8275604248046875,7.8275604248046875
31,196,20,117.8875503540039,10.016475677490234,-0.5962353685833175,-0.5127864249666831,0.5127864249666831,16.07070541381836,19.0,0.8458266007272821,16.07070541381836,3.765227913153825,2.331063378973531,0.10526315789473684,0.2631578947368421,0,3.321761131286621,Consistent degradation,8.0,8.0,2.0164756774902344,2.0164756774902344
34,203,20,123.0470199584961,7.506158351898193,-0.5859407872140041,-0.7458840739458126,0.7458840739458126,19.51532220840454,19.0,1.0271222214949758,19.51532220840454,4.652547465084145,1.7742016355649424,0.0,0.15789473684210525,0,2.9250106811523438,Consistent degradation,7.0,7.0,0.5061583518981934,0.5061583518981934
35,198,20,125.0,14.102489471435547,-0.5057031056686075,-0.4890211707667301,0.4890211707667301,11.993534088134766,19.0,0.6312386362176192,13.524040222167969,3.145681951891429,1.3942213726574655,0.10526315789473684,0.42105263157894735,0,5.988861083984375,Consistent degradation,11.0,11.0,3.102489471435547,3.102489471435547
36,126,20,71.39366149902344,24.961917877197266,-0.692054125070303,-0.8064581706111599,0.8064581706111599,19.33712387084961,19.0,1.0177433616236637,19.33712387084961,5.02727730256229,1.91011926601984,0.10526315789473684,0.3684210526315789,0,5.165351867675781,Consistent degradation,19.0,19.0,5.961917877197266,5.961917877197266
37,121,20,124.21719360351562,35.69366455078125,-0.8443198134139734,-1.176855245030911,1.176855245030911,18.083995819091797,19.0,0.9517892536364103,23.799285888671875,7.708415111197139,3.656337460303662,0.3684210526315789,0.05263157894736842,0,7.815288543701172,Consistent degradation,21.0,21.0,14.69366455078125,14.69366455078125
38,125,20,113.09078216552734,51.63373565673828,-0.35697616305255975,-1.064765738006816,1.064765738006816,16.512901306152344,19.0,0.8691000687448602,32.13124084472656,8.513820172194622,5.898198188410069,0.2631578947368421,0.15789473684210525,0,5.660430908203125,Consistent degradation,50.0,50.0,1.6337356567382812,1.6337356567382812
40,133,20,110.7336196899414,30.351791381835938,-0.6380229182544033,-1.2257641684740097,1.2257641684740097,20.903358459472656,19.0,1.1001767610248767,23.25922393798828,7.604676923314255,2.80589724815821,0.15789473684210525,0.15789473684210525,0,5.0184326171875,Consistent degradation,28.0,28.0,2.3517913818359375,2.3517913818359375
41,123,20,124.2476577758789,29.87518310546875,-0.8208420351951982,-1.0900460996125876,1.0900460996125876,23.680797576904297,19.0,1.2463577672054893,27.572101593017578,8.256070256571206,5.3530392750622795,0.3157894736842105,0.05263157894736842,1,10.417915344238281,Consistent degradation,18.0,18.0,11.87518310546875,11.87518310546875
42,156,20,124.20130920410156,9.888833999633789,-0.7743189952607555,-1.2682413595959634,1.2682413595959634,23.110960006713867,19.0,1.216366316142835,23.110960006713867,7.420572277815763,1.2587259707641716,0.0,0.05263157894736842,0,3.394655227661133,Consistent degradation,10.0,10.0,-0.11116600036621094,0.11116600036621094
44,54,20,119.90635681152344,116.19998168945312,0.29924329114637244,-0.7834213256835915,0.7834213256835915,8.800018310546875,19.0,0.4631588584498355,17.215110778808594,5.659685877667346,3.409529419700105,0.21052631578947367,0.3157894736842105,0,7.261787414550781,Consistent degradation,109.0,109.0,7.199981689453125,7.199981689453125
46,146,20,116.47532653808594,34.80038070678711,-0.333157592180932,-0.8528988228704695,0.8528988228704695,24.029029846191406,19.0,1.264685781378495,24.029029846191406,5.93859100600011,3.3286037265279065,0.2631578947368421,0.05263157894736842,0,9.33083724975586,Consistent degradation,47.0,47.0,-12.19961929321289,12.19961929321289
48,78,20,119.74878692626953,111.43997955322266,-0.010318166477385612,-0.7330606274138712,0.7330606274138712,9.684745788574219,19.0,0.5097234625565378,20.47168731689453,5.753398932939706,3.9030481237565877,0.3157894736842105,0.15789473684210525,1,10.881126403808594,Consistent degradation,92.0,92.0,19.439979553222656,19.439979553222656
49,303,20,122.13150024414062,16.390439987182617,-0.32033103301306753,-0.8659687529829173,0.8659687529829173,14.023735046386719,19.0,0.7380913182308799,17.12026023864746,5.211190058890922,1.490726092173079,0.10526315789473684,0.3684210526315789,0,3.690340042114258,Consistent degradation,21.0,21.0,-4.609560012817383,4.609560012817383
50,74,20,117.95098876953125,103.20807647705078,-0.17359868862769273,-0.4642568315778472,0.4642568315778472,12.964805603027344,19.0,0.6823581896330181,16.62183380126953,3.7292620711506763,2.596319819842162,0.21052631578947367,0.10526315789473684,0,6.9600067138671875,Consistent degradation,79.0,79.0,24.20807647705078,24.20807647705078
52,189,20,124.16938018798828,42.79098892211914,-0.3677630249000659,-0.9852853072317045,0.9852853072317045,19.087703704833984,19.0,1.0046159844649465,19.087703704833984,6.084773613016041,2.1784851682199964,0.10526315789473684,0.10526315789473684,0,5.008022308349609,Consistent degradation,29.0,29.0,13.79098892211914,13.79098892211914
53,164,20,123.57791137695312,32.74513244628906,-0.4925379558532771,-1.4299206382349936,1.4299206382349936,27.772647857666016,19.0,1.4617183082982113,27.8485107421875,8.916102820865481,3.3928618023536914,0.10526315789473684,0.15789473684210525,1,10.659320831298828,Consistent degradation,26.0,26.0,6.7451324462890625,6.7451324462890625
56,136,20,112.42727661132812,18.556652069091797,-0.7730240127545646,-0.6894061296506038,0.6894061296506038,12.269941329956055,19.0,0.6457863857871607,12.804309844970703,4.171173717403848,1.263171878671492,0.15789473684210525,0.2631578947368421,0,3.5307159423828125,Consistent degradation,15.0,15.0,3.556652069091797,3.556652069091797
