unit,actual_rul,predicted_rul_mean,predicted_rul_median,mc_standard_deviation,raw_percentile_05,raw_percentile_95,calibrated_lower_bound,calibrated_upper_bound,interval_width,prediction_error,absolute_error,confidence,health_status,recommendation,actual_inside_interval
1,112.0,110.19440460205078,116.8577880859375,14.993168830871582,82.77900695800781,125.0,88.24348449707031,125.0,36.75651550292969,-1.8055953979492188,1.8055953979492188,Low,Healthy,Manual review required,True
2,98.0,109.93144226074219,111.02482604980469,17.418781280517578,77.07344818115234,125.0,84.65132141113281,125.0,40.34867858886719,11.931442260742188,11.931442260742188,Low,Healthy,Manual review required,True
3,69.0,44.67302703857422,43.792423248291016,11.120516777038574,30.421064376831055,61.6101188659668,28.037389755249023,61.30866241455078,33.271270751953125,-24.32697296142578,24.32697296142578,Low,Warning,Plan maintenance soon,False
4,82.0,82.86186218261719,81.58183288574219,17.670724868774414,55.6795654296875,113.3460922241211,57.235939025878906,108.48778533935547,51.25184631347656,0.8618621826171875,0.8618621826171875,Low,Healthy,Manual review required,True
5,91.0,103.55697631835938,106.6329116821289,16.365676879882812,75.57041931152344,125.0,79.72225952148438,125.0,45.277740478515625,12.556976318359375,12.556976318359375,Low,Healthy,Manual review required,True
6,93.0,106.62970733642578,108.76651000976562,16.53902816772461,74.5411605834961,125.0,82.55706024169922,125.0,42.44293975830078,13.629707336425781,13.629707336425781,Low,Healthy,Manual review required,True
7,91.0,103.78477478027344,106.52891540527344,16.287874221801758,78.80949401855469,125.0,80.05683898925781,125.0,44.94316101074219,12.784774780273438,12.784774780273438,Low,Healthy,Manual review required,True
8,95.0,105.0449447631836,106.38365173339844,17.234983444213867,70.5842514038086,125.0,80.01708984375,125.0,44.98291015625,10.044944763183594,10.044944763183594,Low,Healthy,Manual review required,True
9,111.0,112.73968505859375,111.11398315429688,14.313823699951172,92.09044647216797,125.0,91.72117614746094,125.0,33.27882385253906,1.73968505859375,1.73968505859375,Low,Healthy,Manual review required,True
10,96.0,93.7763442993164,93.51407623291016,14.809408187866211,69.03348541259766,119.22308349609375,72.07763671875,115.47505187988281,43.39741516113281,-2.2236557006835938,2.2236557006835938,Low,Healthy,Manual review required,True
11,97.0,77.90478515625,75.39385986328125,17.972225189208984,52.41306686401367,106.7940902709961,51.86505126953125,103.94451904296875,52.0794677734375,-19.09521484375,19.09521484375,Low,Monitor,Manual review required,True
12,124.0,103.79412078857422,106.4608154296875,15.592931747436523,72.78256225585938,125.0,81.02001190185547,125.0,43.97998809814453,-20.20587921142578,20.20587921142578,Low,Healthy,Manual review required,True
13,95.0,72.56292724609375,71.58280944824219,14.45455551147461,50.334678649902344,99.74527740478516,51.35125732421875,93.77459716796875,42.42333984375,-22.43707275390625,22.43707275390625,Low,Monitor,Manual review required,False
14,107.0,105.4902114868164,108.9317626953125,17.75106430053711,74.30413818359375,125.0,79.7540283203125,125.0,45.2459716796875,-1.5097885131835938,1.5097885131835938,Low,Healthy,Manual review required,True
15,83.0,108.15530395507812,110.62657928466797,15.76251220703125,80.42062377929688,125.0,85.1484375,125.0,39.8515625,25.155303955078125,25.155303955078125,Low,Healthy,Manual review required,False
16,84.0,103.3309097290039,103.16667175292969,14.935527801513672,81.01655578613281,125.0,81.45909881591797,125.0,43.54090118408203,19.330909729003906,19.330909729003906,Low,Healthy,Manual review required,True
17,50.0,59.408424377441406,59.94495391845703,10.468957901000977,43.93197250366211,74.88904571533203,43.66706466674805,75.1497802734375,31.482715606689453,9.408424377441406,9.408424377441406,Low,Monitor,Manual review required,True
18,28.0,33.612606048583984,33.12892150878906,7.143327713012695,22.74934959411621,44.5897331237793,22.43573570251465,44.78947448730469,22.35373878479004,5.612606048583984,5.612606048583984,Medium,Warning,Plan maintenance soon,True
19,87.0,100.3254165649414,102.06037902832031,16.051164627075195,72.48463439941406,124.5486831665039,76.92237091064453,123.72846221923828,46.80609130859375,13.325416564941406,13.325416564941406,Low,Healthy,Manual review required,True
20,16.0,18.578083038330078,18.19236946105957,4.494678974151611,9.885727882385254,26.476192474365234,11.03653335571289,26.119632720947266,15.083099365234375,2.578083038330078,2.578083038330078,High,Critical,Immediate inspection recommended,True
21,57.0,76.1219253540039,74.78602600097656,14.694270133972168,54.24468994140625,103.47920989990234,54.58124542236328,97.66260528564453,43.08135986328125,19.121925354003906,19.121925354003906,Low,Monitor,Manual review required,True
